jaw,center_10_0,center_10_1,center_10_2,center_11_0,center_11_1,center_11_2,center_12_0,center_12_1,center_12_2,center_13_0,center_13_1,center_13_2,center_14_0,center_14_1,center_14_2,center_15_0,center_15_1,center_15_2,center_2_0,center_2_1,center_2_2,center_3_0,center_3_1,center_3_2,center_4_0,center_4_1,center_4_2,center_5_0,center_5_1,center_5_2,center_6_0,center_6_1,center_6_2,center_7_0,center_7_1,center_7_2,center_8_0,center_8_1,center_8_2,center_9_0,center_9_1,center_9_2,origin_10_0,origin_10_1,origin_10_2,origin_11_0,origin_11_1,origin_11_2,origin_12_0,origin_12_1,origin_12_2,origin_13_0,origin_13_1,origin_13_2,origin_14_0,origin_14_1,origin_14_2,origin_15_0,origin_15_1,origin_15_2,origin_2_0,origin_2_1,origin_2_2,origin_3_0,origin_3_1,origin_3_2,origin_4_0,origin_4_1,origin_4_2,origin_5_0,origin_5_1,origin_5_2,origin_6_0,origin_6_1,origin_6_2,origin_7_0,origin_7_1,origin_7_2,origin_8_0,origin_8_1,origin_8_2,origin_9_0,origin_9_1,origin_9_2,file_id,norm,center_1_0,center_1_1,center_1_2,center_16_0,center_16_1,center_16_2,origin_1_0,origin_1_1,origin_1_2,origin_16_0,origin_16_1,origin_16_2
0,0.2255827019876469,0.06369192633887091,0.27270016982899076,0.31801468474396116,0.03829034743446803,0.16786621880638708,0.3631882364294898,0.04468460733244433,0.002248118965108099,0.4100094017065721,0.03739019963884494,-0.12588546321928099,0.4482448116929474,0.0563613935053864,-0.2972446795856982,0.5045614225411289,0.0950942889868632,-0.4749487678403598,-0.48159297158335046,0.09336401251200806,-0.4747904921296033,-0.44267683993690954,0.05738072789595392,-0.2811180980945655,-0.3991098904685889,0.041435286734920404,-0.11863288289700072,-0.36350841283982205,0.04508965684439042,0.013059734860357356,-0.32098822034646834,0.04842741252766724,0.16348272817895354,-0.22353614789555643,0.061473364367808446,0.2618417359482896,-0.09452392445649299,0.06335407712686845,0.34622503118836145,0.08922636901278895,0.06899136977775681,0.36574048927449987,0.16591814347546185,0.3573583826227602,0.10595172813956244,0.2810432912463283,0.3962769878730576,-0.010435755536559224,0.3261309594472418,0.32353400924002895,-0.06451545629709318,0.36026784114190574,0.35871268776021675,-0.14679205045786772,0.41491741156396694,0.42339457037564177,-0.34899139733331896,0.4674167248033291,0.42911512883512426,-0.4832606774401126,-0.45421213076705147,0.4160648891974264,-0.4539000131454199,-0.4234649943047879,0.3998599593580266,-0.2973294386372127,-0.3660120480208759,0.35263049048867584,-0.12985661990742084,-0.31856952044003445,0.33291642772251867,-0.04977398996602263,-0.2762058214758229,0.44009060452769627,0.008779900257403998,-0.1383266120631607,0.3664858940509747,0.09074101562172898,-0.06017688054179521,0.36084140531308306,0.15758956275956726,0.08653863732167882,0.36445042738582034,0.2035256533839982,82016641,50.672773425085374,,,,,,,,,,,,
1,0.16187782572981435,0.06939534663823768,0.2687910077738909,0.26567689668057737,0.058139675485892044,0.1966078087753871,0.3387104831871152,0.06959538893239858,0.07222274986502428,0.38083334240850597,0.06716007185679007,-0.05908716976227464,0.4367839179417863,0.07022168569998215,-0.23435247003009957,0.4954385774588711,0.034181275336101546,-0.45266988031573274,-0.484417385252175,0.03880017472469097,-0.4591254948459059,-0.43540710912325964,0.06594645210228886,-0.23708332782065988,-0.37781107770363676,0.06682712791974565,-0.05826679497744145,-0.33771481736380154,0.06580095091737492,0.07579331116351229,-0.2725992144630057,0.07195954156137405,0.21045717266757177,-0.15414969925718167,0.06511033231496138,0.2713595095840634,-0.05319024171386136,0.050224110477535056,0.29400004931634055,0.060133415059851696,0.06660526318670688,0.29087124494225797,0.1414490247977653,0.38189286923444876,0.17079694559258654,0.25950074831329534,0.49782539891791194,0.10811591423470565,0.3404225577394497,0.4101677675746436,0.04367766370540734,0.3958208437425615,0.3769840533091689,-0.07369219319424782,0.5217230153611796,0.4125700125046824,-0.29818810962722986,0.5631591344813686,0.3254029276453337,-0.515614132557353,-0.5746233991767894,0.3369852877759892,-0.5336820515028264,-0.5277357772496586,0.42108843815576763,-0.30699932927379187,-0.4078335372322266,0.4003528098356633,-0.07499448302555006,-0.33558598270493706,0.399886082776133,0.0411244103486977,-0.22622640365190208,0.480961159814025,0.0929245304399667,-0.11612844286937501,0.3474998528363625,0.15714043458771546,-0.035770173661609526,0.36403572962729575,0.19718973132683376,0.04769922621920674,0.3411124951988554,0.1815684738748962,82016641,50.672773425085374,,,,,,,,,,,,
0,0.23221443874126124,0.03488096013315851,0.26438446762332685,0.3156901751074352,0.03181993039719979,0.1511899298139642,0.3605087869650571,0.039835996896527476,0.013956278112638457,0.4189655253698552,0.03886122599603792,-0.11043367310374365,0.4506962941715384,0.04996054444306161,-0.25962757742909137,0.4908320322591307,0.06656266533776241,-0.4587197926136957,-0.5091679677408693,0.07559259366856863,-0.42713576934740477,-0.45877559822323044,0.04691782436700872,-0.24297114868765537,-0.4180659517714203,0.036806549337324544,-0.09156200981334843,-0.36779464788320015,0.028117831695394026,0.022673910042726748,-0.3160073323468223,0.023997465033958675,0.16651393984905843,-0.2125961148753724,0.025702801849170363,0.27642463536770123,-0.07070495969281368,0.028582168244406375,0.32948754785545303,0.09146619851306605,0.030226404355227512,0.3209291141477651,0.178291270102012,0.3409429366055932,0.10444647628715557,0.2938768502499064,0.40543076190411903,0.01564787415787566,0.37741753107747406,0.37464875466421166,-0.038576158966992985,0.38669858267375906,0.3373966828303709,-0.1305403585811285,0.44297678360311155,0.3222912947128694,-0.3073342598470502,0.4227716248467224,0.36210714283541456,-0.47653196044007357,-0.47781490913506236,0.35322976958782715,-0.42296612364498715,-0.49450378207746143,0.32223811303284344,-0.25324080112280045,-0.4322924999904355,0.2790904851548722,-0.09175741191841483,-0.4200719159515046,0.28330620414042623,0.010281038025799305,-0.3295417034506302,0.3899463029771453,0.05603964826651751,-0.1886074531316228,0.34689382959149784,0.128394207230247,-0.07794795452476505,0.35818221391430966,0.17568150004860975,0.09043586229544003,0.3535036909330245,0.16170327260329134,381dd270,53.34603570853142,,,,,,,,,,,,
1,0.1432911419608756,0.03337161173138563,0.24552756634309925,0.2323455858898361,0.026770593865578635,0.18221860752786406,0.31571505820620277,0.05834570866525286,0.06373624850822425,0.3776704358382536,0.05747523978376965,-0.05477220625997812,0.43688321930748264,0.05068679481462349,-0.21687573028888416,0.48733170999314657,0.029746951357382416,-0.4119985470678143,-0.4774812299498045,0.03994051863267178,-0.42944640870299555,-0.4129328985600999,0.05262904029970519,-0.22970796294530854,-0.3568456576243286,0.05207983367474272,-0.06890963192769718,-0.3171391373985559,0.05460348836193502,0.06113733031415442,-0.24905579709595418,0.027330297345250637,0.16372999586427456,-0.1503698013664208,0.027581707034288458,0.22351852711925635,-0.05558308795021065,0.02599538569558685,0.2524370809545583,0.03956294896365632,0.0330576603973031,0.26447661668062816,0.12135567496175835,0.3252108962075881,0.11319646276459312,0.23794933123845932,0.4102146394602768,0.06543373951419253,0.3349795265915091,0.39503795783463813,-0.01702216138453884,0.4029004816762787,0.39466598550926807,-0.13514819654423985,0.5023001744983556,0.3790637396081024,-0.2540124772442007,0.584483307376302,0.30061646357857796,-0.4928484739995738,-0.5638114664141631,0.32764596609879404,-0.49278494876405415,-0.46031163147964277,0.3656269650749075,-0.2749941303230693,-0.36516064466300696,0.40584008744766337,-0.11805981886052112,-0.29221229389016257,0.3908805638913345,-0.013317837980056152,-0.18676335605506597,0.37890162903614477,0.05100703915163402,-0.08884330519550217,0.31866501745176035,0.10749949417894732,-0.015717767625214065,0.2914543680801206,0.1313545781365573,0.06158765809852179,0.3047560789578157,0.13128865891794292,381dd270,53.34603570853142,,,,,,,,,,,,
0,0.23834341693654035,0.03844251977042435,0.2781109671197162,0.3310693227285396,0.03582138366048215,0.17813246562611193,0.3742306993438052,0.0467112945037016,0.01745623895898761,0.4292772726376578,0.04788112163290386,-0.10976438454127518,0.46605159688111963,0.05235513771313401,-0.2700356464743557,0.5035944326034105,0.0544539507221317,-0.4558166108918487,-0.49640556739658936,0.07040443465868809,-0.4616739899415874,-0.45083985784195196,0.056602765289976445,-0.2658611244601847,-0.4231621415982908,0.04491768333667615,-0.11585374865380614,-0.3693060337956549,0.03797412032263291,0.015185294750162791,-0.3226234226645314,0.03337008488659082,0.17154440424023,-0.21646433020658307,0.05505021756033824,0.2628629794423051,-0.08422930995497231,0.050164573592355655,0.3445636535248659,0.09493608039132057,0.045377068900857756,0.35684549943113586,0.1535766849280092,0.3263795647793894,0.0555924345570145,0.2580929901342393,0.4155280525037657,-0.026821507508565736,0.32366706535780976,0.34792600936382473,-0.06362111154955759,0.38960233033995423,0.35510519515756767,-0.12668820604215986,0.46630772305541457,0.3678032965942348,-0.3380302568188947,0.5224891307466321,0.3717905383863478,-0.5041100351781344,-0.43908095809727027,0.38795507528228695,-0.5088295958379856,-0.43119458104077985,0.3779443691527198,-0.34025885236324155,-0.39136780896530854,0.33042452563855834,-0.16079489448167095,-0.336425532067983,0.2758504238971623,-0.057480771256708696,-0.26029068909190345,0.3986902974769643,-0.053747704749537016,-0.1475114175907245,0.34384347440683444,0.044895720439153554,-0.052661138202240804,0.37346228849117513,0.0836264156110576,0.0754923641140541,0.3550351405465076,0.08920294697442462,48c21cef,49.93842568256628,,,,,,,,,,,,
1,0.17095825298432418,0.04797116383880777,0.2609492011060357,0.26476336207983736,0.042871466911442696,0.18038634541336215,0.3377268285352481,0.07431624599564444,0.05234599960859957,0.3853880118357875,0.06036298745080366,-0.07272058290831021,0.43151217217866783,0.051160135048426626,-0.24880657039404505,0.4832907390562808,0.03798794194075339,-0.4511864978948654,-0.48428214642001105,0.04654898253808744,-0.4341170507268517,-0.4269659043314281,0.05335363899311172,-0.22917811750863454,-0.38357653420469706,0.050889310529005256,-0.06331366748512403,-0.3285299609108446,0.05205913765820751,0.06390695601513877,-0.23555812878650065,0.02970354297118055,0.16847907973277085,-0.1560623147610399,0.0409590959499113,0.2572712050455149,-0.04642698782747978,0.04557059553335612,0.2801516898909378,0.06922906855934809,0.05140537214564762,0.29008768709584015,0.12032105508359828,0.3502701224883556,0.12322064070168451,0.2081541000285188,0.3943951019224077,0.06673650732950259,0.30234346486344665,0.3881078034594263,-0.0010714971209644123,0.3953262640174936,0.40452396741256996,-0.10536025190097502,0.5044499728342713,0.43054797013033214,-0.3122567258135793,0.6268985706819439,0.3412055762110863,-0.523857867284161,-0.5647283999520579,0.373445050856582,-0.4913953160245998,-0.5144114594861592,0.3883756533915586,-0.30480442213901915,-0.36696943767708473,0.3689712881371579,-0.09214395178443378,-0.2485390601699203,0.4041803688508834,0.01702103653116556,-0.2079598768052839,0.3851021748248608,0.08484569770869559,-0.11664546422479032,0.34256990996906966,0.12964258630696596,-0.019645912627767954,0.3528964770680047,0.15987437070247973,0.05084479013350192,0.3405284689540218,0.15659916805630242,48c21cef,49.93842568256628,,,,,,,,,,,,
0,0.2475047398964472,0.030894081792007307,0.3870789532116446,0.3255931161588173,0.026063722465099526,0.276056447526006,0.37037890234870885,0.028327580383370736,0.1343056334029638,0.40379913731404665,0.030248334379184238,-0.007845211143039791,0.44391422643582656,0.03982860938711325,-0.18497332020897517,0.4791406035465138,0.05736086144636623,-0.3918296616549107,-0.48176250098501366,0.040305468781218864,-0.42126607418631046,-0.44297277636385946,0.035033601115495,-0.2243905644709661,-0.3981422424152072,0.039327934346885446,-0.04554513158687477,-0.3629331401472572,0.03819468396248733,0.08770777037111141,-0.316716520369974,0.02800988856466132,0.23959079479479228,-0.25331954176824234,0.044050831256069053,0.36627035371620703,-0.11990714010459194,0.046400148929675186,0.4570895615891937,0.11899543733864806,0.037288898031631386,0.47306361956535764,0.18348033377881304,0.2943801117756206,0.2002814878358867,0.26927405626730466,0.3527551000922589,0.13973511643186778,0.31306373748227534,0.3161692423436541,0.05960654535397328,0.3905521047325762,0.34962241396651095,-0.06720425069664163,0.45547037409952895,0.28077959507316136,-0.23455196843827375,0.5524052325594575,0.30775626300137454,-0.4229024070462697,-0.45468413108535066,0.2862200300826186,-0.43070123884091566,-0.46704737375931227,0.2950850680738283,-0.2488483476857654,-0.3874041187065558,0.31919801094436445,-0.10526300761825648,-0.317218316208395,0.3008709591726802,0.0198162170139091,-0.2599020808572726,0.3857500675069466,0.09841344448223881,-0.1694357896251892,0.29066567451319875,0.1985372176728419,-0.08536222632668265,0.30708252259918395,0.22285079174257016,0.09641658388006327,0.30755708090973527,0.23554179324987268,eee467ef,56.25007123534742,-0.49412444238548275,0.0991977558320695,-0.6059673897488167,0.48536108036836856,0.09663801134124468,-0.6022518878663586,-0.4780996390274059,0.3021061377741368,-0.5880747171585937,0.5217648708350103,0.359281485079318,-0.5673774259489125
1,0.18247012118202846,0.03992163128915313,0.3669941937835973,0.2700542974476191,0.04718475764503606,0.2727674972165905,0.32172769110957566,0.053487947478099984,0.1282578766754033,0.3334036405426113,0.05922583354422736,-0.020500699948311864,0.38436096677412585,0.046739725505519476,-0.20147050457496538,0.4393189716755629,0.0602056268781426,-0.4083198285194564,-0.4365685003994123,0.06203994690109136,-0.3743102250662926,-0.3773569669986035,0.04006819597049664,-0.16709504714257706,-0.3484674103291379,0.05933557595351993,0.023014121826160132,-0.32094796591905883,0.061720337949770825,0.15971591902075127,-0.2647186323338709,0.05366153093128136,0.29413473580388505,-0.16993996294989097,0.03995117855217464,0.386327103812348,-0.05454033116049776,0.03829773808342347,0.42751930008587824,0.06487595286806237,0.031234560410013545,0.41638701372783626,0.09358719772885397,0.2954266550496385,0.16428236571234664,0.17814125347108983,0.4106879651655951,0.07659419794596325,0.26894161806452777,0.3720408410317171,0.03436796176869647,0.3504149756165006,0.36472266204170917,-0.08417932636948329,0.4186226700585832,0.3834773965410114,-0.23365515075395088,0.5290463056080265,0.3660953262311571,-0.5091344802442623,-0.5231472292197769,0.35258132655845476,-0.4815054347150372,-0.40647785522111946,0.37746103527913516,-0.21967577624684692,-0.33239814441329424,0.36235953984889124,-0.06955126958650373,-0.2418541422114627,0.35469448463610936,0.06931651849063848,-0.14534092654273922,0.39963838345221014,0.09929319012614925,-0.09189628003409121,0.2576987585068715,0.20156998218343203,-0.04008926791003107,0.24165517296493869,0.20349455131191713,0.038659553491419335,0.26729511802558054,0.1976110844964031,eee467ef,56.25007123534742,-0.5058755576145173,0.012116636458474793,-0.606411438557079,0.47303391648113147,0.0007978029934300747,-0.6340060950451636,-0.5731938630297468,0.23409357915088266,-0.710605994838806,0.5228833227530136,0.1689942055997721,-0.691483399520819
0,0.20482786119959098,0.061411080143783,0.2242900091423137,0.29475029155607624,0.0487207810231787,0.14018332895592767,0.3489335888810393,0.04723277935736789,0.010613819564253647,0.4023684856870535,0.04044124413833904,-0.09995147222566995,0.4137905004703348,0.051547394716966115,-0.25025541590217343,0.49465613263860775,0.05320810273718039,-0.4291798266266335,-0.4739899252438597,0.059758006605841595,-0.42241906818182,-0.4171787073198143,0.04761230637782268,-0.2574099037452091,-0.3968550229462402,0.04136537005137947,-0.11885935091213602,-0.3571021453188734,0.04651371143172472,0.007225430611766078,-0.30538940526807,0.03920198393308621,0.14056082912119638,-0.2015574937680086,0.05313804601105807,0.2244398573352938,-0.08475121368650614,0.046518382236605205,0.278476805267837,0.07173208054092392,0.05490385283786938,0.27672250385593655,0.13250674122443215,0.3090197469303805,0.1346379093332263,0.2868149325350217,0.3565422790649768,0.037048460711496395,0.3383612712638156,0.33976414861067217,-0.023042414792964646,0.38532654055895776,0.3399782376700858,-0.12165053872319914,0.43428570861041127,0.3305454900781569,-0.28851631262542327,0.42774021761810055,0.3474079073519712,-0.4584351756340797,-0.41631420731523694,0.3122931983720981,-0.4707035586110035,-0.4342760767287839,0.32128162666299226,-0.29658695795045936,-0.37045751213309913,0.3467006994829851,-0.12697271160223403,-0.34304145112997203,0.32597295377581875,-0.025006042813970175,-0.2618080312373709,0.40815860719589153,0.03600203903644894,-0.1413501579223074,0.34059679845242646,0.12445996670542475,-0.053988951159940186,0.37089619433202187,0.15071564038386898,0.058537478686662724,0.361325082249089,0.1422191156631304,68a85e62,51.251006889477345,,,,,,,,,,,,
1,0.1417082652526082,0.054663403517055786,0.2254317208686875,0.23979863903956963,0.04849647288457203,0.17200547466654736,0.3050936939519749,0.0521104622688846,0.0638053957917189,0.36363270499327627,0.04371711591618227,-0.05103459833823497,0.4347044111784784,0.060889620715411194,-0.18375971466284527,0.503671370045622,0.035973615672828495,-0.3497865055440028,-0.496328629954378,0.03704383341814563,-0.35583467375028355,-0.4336966092007521,0.05785999866020554,-0.17538382335900318,-0.36696581389336813,0.04298122030867037,-0.03436595932991353,-0.31928725763897386,0.05504332021684154,0.07731863763989506,-0.24093293266660243,0.05419261810406039,0.18114191589377238,-0.1393518590854322,0.04898591792667057,0.23398175486712217,-0.045415684133102555,0.052646257641205,0.2374664827348938,0.04192521190808769,0.050533502978683725,0.23461654132634616,0.12069332545041032,0.33453744251383155,0.1399489642543098,0.22112494651744574,0.43497308687181224,0.0792459186099049,0.3181453898655294,0.4110341399661919,0.006204962848403343,0.4206209545664811,0.38818522575556996,-0.09197152232049154,0.4884828694350498,0.35204168173539024,-0.28354076732318656,0.5614931785750775,0.2655630598526345,-0.4715225568588139,-0.554278284627244,0.29756943494107996,-0.40984681213536556,-0.4970810745053089,0.3497077180302585,-0.2276661646065886,-0.42867240247888583,0.38408239868723515,-0.07174035166508998,-0.30584380468609657,0.4133465260429883,0.032184185778542325,-0.22226535044021542,0.4204405698563249,0.09871119952186955,-0.12273910777888715,0.32764425470392805,0.15351058533291984,-0.04169227145008448,0.29981473784215257,0.16834219887556084,0.04561351103140888,0.3042464604751705,0.15956451290483764,68a85e62,51.251006889477345,,,,,,,,,,,,
